Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is 180.45 - 75.47?,104.98,113.51,107.65,100.02,A) 104.98,180.45 - 75.47 = 104.98.,Math,Decimals
"If 6x + 21 = 39, what is the value of x?",1,3,2,9,B) 3,6x + 21 = 39 → 6x = 18 → x = 18 ÷ 6 = 3.,Math,Algebra
"If 11x + 31 = 339, what is the value of x?",30,25,27,28,D) 28,11x + 31 = 339 → 11x = 308 → x = 308 ÷ 11 = 28.,Math,Algebra
₹36 is divided between two people in the ratio 7:2. What is the first person's share?,28,34,21,23,A) 28,Total parts = 7+2 = 9. One part = 36÷9 = 4. First share = 7×4 = 28.,Math,Ratios
What is 2353 + 9120?,11473,11552,12484,10363,A) 11473,2353 + 9120 = 11473.,Math,Basic Math
"If 13x + 77 = 558, what is the value of x?",36,42,39,37,D) 37,13x + 77 = 558 → 13x = 481 → x = 481 ÷ 13 = 37.,Math,Algebra
"What is the average of 97, 122, 5, 32?",54,64,57,75,B) 64,Sum = 256. Average = 256 ÷ 4 = 64.,Math,Averages
What is 178.25 - 80.32?,97.93,100.14,93.68,105.75,A) 97.93,178.25 - 80.32 = 97.93.,Math,Decimals
"If 3x + 9 = 33, what is the value of x?",7,8,1,10,B) 8,3x + 9 = 33 → 3x = 24 → x = 24 ÷ 3 = 8.,Math,Algebra
"If 4x + 7 = 59, what is the value of x?",21,10,13,12,C) 13,4x + 7 = 59 → 4x = 52 → x = 52 ÷ 4 = 13.,Math,Algebra
What is 463.36 + 169.75?,633.11,628.66,638.1,638.4,A) 633.11,463.36 + 169.75 = 633.11.,Math,Decimals
"If 7x + 75 = 355, what is the value of x?",37,43,40,41,C) 40,7x + 75 = 355 → 7x = 280 → x = 280 ÷ 7 = 40.,Math,Algebra
What is 43 × 5?,196,221,238,215,D) 215,43 × 5 = 215.,Math,Basic Math
"If 3x + 56 = 146, what is the value of x?",27,33,30,29,C) 30,3x + 56 = 146 → 3x = 90 → x = 90 ÷ 3 = 30.,Math,Algebra
What is 53.6 - 34.69?,18.91,28.47,15.69,21.38,A) 18.91,53.6 - 34.69 = 18.91.,Math,Decimals
"What is the average of 74, 173, 77, 111, 90?",105,111,126,113,A) 105,Sum = 525. Average = 525 ÷ 5 = 105.,Math,Averages
"If 13x + 10 = 595, what is the value of x?",45,51,53,52,A) 45,13x + 10 = 595 → 13x = 585 → x = 585 ÷ 13 = 45.,Math,Algebra
What is 188 ÷ 2?,75,91,94,83,C) 94,"188 ÷ 2 = 94, since 2 × 94 = 188.",Math,Basic Math
What is 44 × 23?,1012,1052,987,1043,A) 1012,44 × 23 = 1012.,Math,Basic Math
What is the cube root of 59319?,43,36,44,39,D) 39,"Cube root of 59319 is 39, because 39×39×39 = 59319.",Math,Mathematical Operations
"What is the average of 78, 143, 134, 177, 53?",117,136,102,111,A) 117,Sum = 585. Average = 585 ÷ 5 = 117.,Math,Averages
What is 1/15 + 12/15 in simplest form?,13/15,13/15,12/15,14/15,A) 13/15,"1/15 + 12/15 = 13/15, which simplifies to 13/15.",Math,Fractions
What is 493.31 + 277.51?,766.06,770.82,776.12,775.49,B) 770.82,493.31 + 277.51 = 770.82.,Math,Decimals
"What is the average of 56, 63, 111, 174, 75, 85?",89,112,82,94,D) 94,Sum = 564. Average = 564 ÷ 6 = 94.,Math,Averages
₹136 is divided between two people in the ratio 9:8. What is the first person's share?,72,90,62,78,A) 72,Total parts = 9+8 = 17. One part = 136÷17 = 8. First share = 9×8 = 72.,Math,Ratios
What is 419.56 - 313.08?,109.65,106.48,115.5,102.89,B) 106.48,419.56 - 313.08 = 106.48.,Math,Decimals
What is 25% of 400?,103,115,100,113,C) 100,25% of 400 = (25/100) × 400 = 100.,Math,Percentages
What is 104.32 + 94.64?,197.34,198.96,202.51,206.55,B) 198.96,104.32 + 94.64 = 198.96.,Math,Decimals
Is 755161 a perfect square?,Yes,Only for even n,Cannot be determined,No,A) Yes,"755161 = 869 × 869, so it is a perfect square.",Math,Number System
Is 184 a prime number?,Yes,Only for even numbers,Cannot be determined,No,D) No,"184 is divisible by 2, so it is not a prime number.",Math,Number System
What is 10/12 + 4/12 in simplest form?,14/12,6/6,8/6,7/6,D) 7/6,"10/12 + 4/12 = 14/12, which simplifies to 7/6.",Math,Fractions
₹220 is divided between two people in the ratio 9:13. What is the first person's share?,81,97,90,93,C) 90,Total parts = 9+13 = 22. One part = 220÷22 = 10. First share = 9×10 = 90.,Math,Ratios
"What is the average of 2, 171, 56, 136, 19, 96?",95,87,85,80,D) 80,Sum = 480. Average = 480 ÷ 6 = 80.,Math,Averages
What is √289?,17,18,19,13,A) 17,"√289 = 17, because 17×17 = 289.",Math,Mathematical Operations
"What is the average of 203, 80, 58, 175?",122,147,129,136,C) 129,Sum = 516. Average = 516 ÷ 4 = 129.,Math,Averages
What is 7/15 + 2/15 in simplest form?,4/5,9/15,3/5,2/5,C) 3/5,"7/15 + 2/15 = 9/15, which simplifies to 3/5.",Math,Fractions
What is 344.61 - 170.24?,175.34,174.37,172.63,179.63,B) 174.37,344.61 - 170.24 = 174.37.,Math,Decimals
"If 5x + 29 = 184, what is the value of x?",31,33,35,30,A) 31,5x + 29 = 184 → 5x = 155 → x = 155 ÷ 5 = 31.,Math,Algebra
What is 5% of 150?,9,7,7.5,6,C) 7.5,5% of 150 = (5/100) × 150 = 7.5.,Math,Percentages
₹160 is divided between two people in the ratio 7:13. What is the first person's share?,61,58,56,48,C) 56,Total parts = 7+13 = 20. One part = 160÷20 = 8. First share = 7×8 = 56.,Math,Ratios
What is 13 × 2?,23,24,28,26,D) 26,13 × 2 = 26.,Math,Basic Math
What is 77.85 - 16.2?,64.78,61.65,67.74,58.64,B) 61.65,77.85 - 16.2 = 61.65.,Math,Decimals
What is 5649 - 4122?,1626,1347,1473,1527,D) 1527,5649 - 4122 = 1527.,Math,Basic Math
What is 265.71 - 69.35?,198.4,204.61,196.36,192.87,C) 196.36,265.71 - 69.35 = 196.36.,Math,Decimals
"If 4x + 49 = 65, what is the value of x?",6,7,4,10,C) 4,4x + 49 = 65 → 4x = 16 → x = 16 ÷ 4 = 4.,Math,Algebra
What is 836 ÷ 22?,47,29,45,38,D) 38,"836 ÷ 22 = 38, since 22 × 38 = 836.",Math,Basic Math
What is 1916 + 5454?,6629,6773,7370,7463,C) 7370,1916 + 5454 = 7370.,Math,Basic Math
A number multiplied by 6 gives 414. What is the number?,66,61,69,76,C) 69,Let the number be x. 6x = 414 → x = 414 ÷ 6 = 69.,Math,Equations
What is 8138 - 6777?,1209,1447,1361,1289,C) 1361,8138 - 6777 = 1361.,Math,Basic Math
Is 616225 a perfect square?,Cannot be determined,Yes,Only for even n,No,B) Yes,"616225 = 785 × 785, so it is a perfect square.",Math,Number System
What is 2352 ÷ 24?,98,84,104,114,A) 98,"2352 ÷ 24 = 98, since 24 × 98 = 2352.",Math,Basic Math
What is 438.38 - 317.27?,120.37,121.83,126.77,121.11,D) 121.11,438.38 - 317.27 = 121.11.,Math,Decimals
"What is the average of 72, 32, 13?",37,41,39,38,C) 39,Sum = 117. Average = 117 ÷ 3 = 39.,Math,Averages
Is 79524 a perfect square?,Yes,Only for even n,Cannot be determined,No,A) Yes,"79524 = 282 × 282, so it is a perfect square.",Math,Number System
What is 198.31 - 193.81?,3.06,11.22,5.51,4.5,D) 4.5,198.31 - 193.81 = 4.5.,Math,Decimals
"What is the average of 75, 55, 140, 79, 131?",112,96,114,79,B) 96,Sum = 480. Average = 480 ÷ 5 = 96.,Math,Averages
"If 3x + 42 = 114, what is the value of x?",17,24,28,20,B) 24,3x + 42 = 114 → 3x = 72 → x = 72 ÷ 3 = 24.,Math,Algebra
What is 28²?,657,784,680,705,B) 784,28² = 28×28 = 784.,Math,Mathematical Operations
"If 3x + 77 = 170, what is the value of x?",32,38,31,23,C) 31,3x + 77 = 170 → 3x = 93 → x = 93 ÷ 3 = 31.,Math,Algebra
What is 246.86 - 108.34?,147.94,138.52,136.48,142.88,B) 138.52,246.86 - 108.34 = 138.52.,Math,Decimals
What is 18/20 + 10/20 in simplest form?,28/20,8/5,6/5,7/5,D) 7/5,"18/20 + 10/20 = 28/20, which simplifies to 7/5.",Math,Fractions
What is 3/5 + 4/5 in simplest form?,7/5,8/5,7/5,6/5,A) 7/5,"3/5 + 4/5 = 7/5, which simplifies to 7/5.",Math,Fractions
What is 2/10 + 1/10 in simplest form?,4/10,2/10,3/10,3/10,C) 3/10,"2/10 + 1/10 = 3/10, which simplifies to 3/10.",Math,Fractions
"If 7x + 44 = 149, what is the value of x?",18,15,9,21,B) 15,7x + 44 = 149 → 7x = 105 → x = 105 ÷ 7 = 15.,Math,Algebra
What is 62.44 - 61.76?,9.52,0.68,-3.58,3.09,B) 0.68,62.44 - 61.76 = 0.68.,Math,Decimals
"If 3x + 45 = 132, what is the value of x?",25,32,29,27,C) 29,3x + 45 = 132 → 3x = 87 → x = 87 ÷ 3 = 29.,Math,Algebra
What is 293.55 + 348.73?,639.62,642.28,642.83,648.31,B) 642.28,293.55 + 348.73 = 642.28.,Math,Decimals
What is 322.28 - 63.78?,263.38,266.28,258.5,257.3,C) 258.5,322.28 - 63.78 = 258.5.,Math,Decimals
A number multiplied by 6 gives 42. What is the number?,7,3,12,15,A) 7,Let the number be x. 6x = 42 → x = 42 ÷ 6 = 7.,Math,Equations
"If 7x + 6 = 258, what is the value of x?",37,38,39,36,D) 36,7x + 6 = 258 → 7x = 252 → x = 252 ÷ 7 = 36.,Math,Algebra
What is 2505 - 434?,2071,2255,1893,2253,A) 2071,2505 - 434 = 2071.,Math,Basic Math
"If 6x + 51 = 261, what is the value of x?",39,41,35,33,C) 35,6x + 51 = 261 → 6x = 210 → x = 210 ÷ 6 = 35.,Math,Algebra
Is 23716 a perfect square?,Yes,Cannot be determined,Only for even n,No,A) Yes,"23716 = 154 × 154, so it is a perfect square.",Math,Number System
"What is the average of 37, 174, 95, 20, 69?",79,86,90,64,A) 79,Sum = 395. Average = 395 ÷ 5 = 79.,Math,Averages
Is 218 a prime number?,Only for even numbers,Cannot be determined,No,Yes,C) No,"218 is divisible by 2, so it is not a prime number.",Math,Number System
What is 7/15 + 12/15 in simplest form?,20/15,18/15,19/15,19/15,C) 19/15,"7/15 + 12/15 = 19/15, which simplifies to 19/15.",Math,Fractions
What is 1/8 + 4/8 in simplest form?,5/8,4/8,5/8,6/8,A) 5/8,"1/8 + 4/8 = 5/8, which simplifies to 5/8.",Math,Fractions
A number multiplied by 4 gives 76. What is the number?,11,19,26,17,B) 19,Let the number be x. 4x = 76 → x = 76 ÷ 4 = 19.,Math,Equations
"What is the average of 72, 136, 175, 196, 167, 64?",108,118,135,142,C) 135,Sum = 810. Average = 810 ÷ 6 = 135.,Math,Averages
What is 3340 + 9647?,14606,11415,12987,14288,C) 12987,3340 + 9647 = 12987.,Math,Basic Math
A number multiplied by 5 gives 25. What is the number?,5,3,11,13,A) 5,Let the number be x. 5x = 25 → x = 25 ÷ 5 = 5.,Math,Equations
What is 4651 - 300?,4111,4320,4334,4351,D) 4351,4651 - 300 = 4351.,Math,Basic Math
What is 10% of 80?,10,8,9,7,B) 8,10% of 80 = (10/100) × 80 = 8.,Math,Percentages
What is 93.69 + 198.48?,288.5,294.15,300.21,292.17,D) 292.17,93.69 + 198.48 = 292.17.,Math,Decimals
What is 273.33 - 167.36?,104.77,114.27,105.97,106.93,C) 105.97,273.33 - 167.36 = 105.97.,Math,Decimals
Is 7638 an even or odd number?,Neither,Odd,Both,Even,D) Even,"7638 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
What is 20% of 150?,34,28,29,30,D) 30,20% of 150 = (20/100) × 150 = 30.,Math,Percentages
"What is the average of 37, 13, 123, 12, 60?",46,49,57,44,B) 49,Sum = 245. Average = 245 ÷ 5 = 49.,Math,Averages
What is 164 ÷ 4?,41,49,33,48,A) 41,"164 ÷ 4 = 41, since 4 × 41 = 164.",Math,Basic Math
What is 125.59 + 210.68?,340.75,333.34,344.21,336.27,D) 336.27,125.59 + 210.68 = 336.27.,Math,Decimals
What is 157.85 - 102.98?,58.02,63.59,54.87,51.79,C) 54.87,157.85 - 102.98 = 54.87.,Math,Decimals
Is 1258 an even or odd number?,Both,Even,Odd,Neither,B) Even,"1258 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
"If 4x + 62 = 142, what is the value of x?",16,19,13,20,D) 20,4x + 62 = 142 → 4x = 80 → x = 80 ÷ 4 = 20.,Math,Algebra
"What is the average of 140, 32, 14, 49, 126, 155?",103,89,73,86,D) 86,Sum = 516. Average = 516 ÷ 6 = 86.,Math,Averages
What is 8/20 + 2/20 in simplest form?,1/2,1/2,2/2,10/20,A) 1/2,"8/20 + 2/20 = 10/20, which simplifies to 1/2.",Math,Fractions
Is 244 a prime number?,Cannot be determined,Yes,No,Only for even numbers,C) No,"244 is divisible by 2, so it is not a prime number.",Math,Number System
"If 2x + 38 = 84, what is the value of x?",27,18,23,19,C) 23,2x + 38 = 84 → 2x = 46 → x = 46 ÷ 2 = 23.,Math,Algebra
What is 12% of 120?,13,12,15,14.4,D) 14.4,12% of 120 = (12/100) × 120 = 14.4.,Math,Percentages
₹38 is divided between two people in the ratio 5:14. What is the first person's share?,11,10,12,9,B) 10,Total parts = 5+14 = 19. One part = 38÷19 = 2. First share = 5×2 = 10.,Math,Ratios
"If 9x + 32 = 113, what is the value of x?",15,14,6,9,D) 9,9x + 32 = 113 → 9x = 81 → x = 81 ÷ 9 = 9.,Math,Algebra
What is 2146 ÷ 29?,74,85,92,81,A) 74,"2146 ÷ 29 = 74, since 29 × 74 = 2146.",Math,Basic Math
What is 19/20 + 10/20 in simplest form?,29/20,28/20,30/20,29/20,A) 29/20,"19/20 + 10/20 = 29/20, which simplifies to 29/20.",Math,Fractions
What is 46 × 41?,1753,2093,1886,1739,C) 1886,46 × 41 = 1886.,Math,Basic Math
"What is the average of 167, 159, 160, 79, 197, 72?",143,153,139,120,C) 139,Sum = 834. Average = 834 ÷ 6 = 139.,Math,Averages
₹128 is divided between two people in the ratio 11:5. What is the first person's share?,102,88,78,76,B) 88,Total parts = 11+5 = 16. One part = 128÷16 = 8. First share = 11×8 = 88.,Math,Ratios
What is 4/7 + 3/7 in simplest form?,7/7,1,2,1,B) 1,"4/7 + 3/7 = 7/7, which simplifies to 1.",Math,Fractions
A number multiplied by 4 gives 72. What is the number?,10,18,15,14,B) 18,Let the number be x. 4x = 72 → x = 72 ÷ 4 = 18.,Math,Equations
What is 238.3 - 237.53?,-3.32,6.67,3.17,0.77,D) 0.77,238.3 - 237.53 = 0.77.,Math,Decimals
₹136 is divided between two people in the ratio 11:6. What is the first person's share?,104,92,99,88,D) 88,Total parts = 11+6 = 17. One part = 136÷17 = 8. First share = 11×8 = 88.,Math,Ratios
What is 17/20 + 16/20 in simplest form?,32/20,33/20,34/20,33/20,B) 33/20,"17/20 + 16/20 = 33/20, which simplifies to 33/20.",Math,Fractions
What is 70% of 80?,61,55,59,56,D) 56,70% of 80 = (70/100) × 80 = 56.,Math,Percentages
"What is the average of 38, 19, 15?",26,28,23,24,D) 24,Sum = 72. Average = 72 ÷ 3 = 24.,Math,Averages
What is 18 × 9?,161,162,181,184,B) 162,18 × 9 = 162.,Math,Basic Math
"If 13x + 14 = 92, what is the value of x?",11,10,6,3,C) 6,13x + 14 = 92 → 13x = 78 → x = 78 ÷ 13 = 6.,Math,Algebra
What is 339.61 + 224.67?,564.28,565.08,560.66,570.94,A) 564.28,339.61 + 224.67 = 564.28.,Math,Decimals
Is 774400 a perfect square?,No,Cannot be determined,Yes,Only for even n,C) Yes,"774400 = 880 × 880, so it is a perfect square.",Math,Number System
"If 4x + 33 = 189, what is the value of x?",45,46,39,32,C) 39,4x + 33 = 189 → 4x = 156 → x = 156 ÷ 4 = 39.,Math,Algebra
What is 3/12 + 2/12 in simplest form?,5/12,5/12,6/12,4/12,A) 5/12,"3/12 + 2/12 = 5/12, which simplifies to 5/12.",Math,Fractions
Is 553536 a perfect square?,Only for even n,No,Cannot be determined,Yes,D) Yes,"553536 = 744 × 744, so it is a perfect square.",Math,Number System
What is 145.56 - 100.08?,49.96,45.48,41.38,54.57,B) 45.48,145.56 - 100.08 = 45.48.,Math,Decimals
Is 875 an even or odd number?,Both,Odd,Even,Neither,B) Odd,"875 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
What is 460.09 + 464.45?,924.54,933.14,922.62,928.48,A) 924.54,460.09 + 464.45 = 924.54.,Math,Decimals
Is 276676 a perfect square?,Only for even n,No,Yes,Cannot be determined,C) Yes,"276676 = 526 × 526, so it is a perfect square.",Math,Number System
What is 81.83 - 32.71?,49.12,52.24,54.65,46.44,A) 49.12,81.83 - 32.71 = 49.12.,Math,Decimals
What is 7/12 + 3/12 in simplest form?,4/6,10/12,5/6,6/6,C) 5/6,"7/12 + 3/12 = 10/12, which simplifies to 5/6.",Math,Fractions
What is 273.21 + 59.72?,339.33,337.16,332.93,329.64,C) 332.93,273.21 + 59.72 = 332.93.,Math,Decimals
What is 450.48 + 317.52?,767.13,769.51,774.57,768.0,D) 768.0,450.48 + 317.52 = 768.0.,Math,Decimals
What is 9892 + 7160?,19096,18233,15623,17052,D) 17052,9892 + 7160 = 17052.,Math,Basic Math
What is √49?,7,6,4,10,A) 7,"√49 = 7, because 7×7 = 49.",Math,Mathematical Operations
"If 11x + 72 = 127, what is the value of x?",5,9,4,3,A) 5,11x + 72 = 127 → 11x = 55 → x = 55 ÷ 11 = 5.,Math,Algebra
What is 281.44 - 268.17?,19.4,17.67,13.27,9.69,C) 13.27,281.44 - 268.17 = 13.27.,Math,Decimals
"What is the average of 121, 70, 127, 27, 162, 57?",92,109,94,91,C) 94,Sum = 564. Average = 564 ÷ 6 = 94.,Math,Averages
"If 8x + 48 = 144, what is the value of x?",6,13,19,12,D) 12,8x + 48 = 144 → 8x = 96 → x = 96 ÷ 8 = 12.,Math,Algebra
"What is the average of 76, 188, 107, 129?",136,125,109,123,B) 125,Sum = 500. Average = 500 ÷ 4 = 125.,Math,Averages
What is 267.31 + 220.99?,488.3,495.6,490.04,485.93,A) 488.3,267.31 + 220.99 = 488.3.,Math,Decimals
"What is the average of 13, 48, 50?",44,37,39,38,B) 37,Sum = 111. Average = 111 ÷ 3 = 37.,Math,Averages
"If 6x + 47 = 137, what is the value of x?",17,22,18,15,D) 15,6x + 47 = 137 → 6x = 90 → x = 90 ÷ 6 = 15.,Math,Algebra
"What is the average of 161, 100, 90, 73?",106,91,107,115,A) 106,Sum = 424. Average = 424 ÷ 4 = 106.,Math,Averages
What is 60% of 500?,270,247,300,278,C) 300,60% of 500 = (60/100) × 500 = 300.,Math,Percentages
What is 6/8 + 2/8 in simplest form?,1,8/8,1,2,A) 1,"6/8 + 2/8 = 8/8, which simplifies to 1.",Math,Fractions
A number multiplied by 4 gives 236. What is the number?,55,59,57,66,B) 59,Let the number be x. 4x = 236 → x = 236 ÷ 4 = 59.,Math,Equations
Is 123 a prime number?,Only for even numbers,Cannot be determined,Yes,No,D) No,"123 is divisible by 3, so it is not a prime number.",Math,Number System
What is 92.58 - 84.99?,2.99,11.52,12.73,7.59,D) 7.59,92.58 - 84.99 = 7.59.,Math,Decimals
"What is the average of 47, 23, 94, 142, 161, 145?",93,115,97,102,D) 102,Sum = 612. Average = 612 ÷ 6 = 102.,Math,Averages
"What is the average of 100, 199, 124, 144, 183?",137,170,150,158,C) 150,Sum = 750. Average = 750 ÷ 5 = 150.,Math,Averages
A number multiplied by 7 gives 371. What is the number?,53,48,50,58,A) 53,Let the number be x. 7x = 371 → x = 371 ÷ 7 = 53.,Math,Equations
"What is the average of 44, 1, 111?",42,52,62,60,B) 52,Sum = 156. Average = 156 ÷ 3 = 52.,Math,Averages
"If 13x + 15 = 28, what is the value of x?",3,1,9,2,B) 1,13x + 15 = 28 → 13x = 13 → x = 13 ÷ 13 = 1.,Math,Algebra
"What is the average of 139, 78, 62, 86, 195?",111,97,121,112,D) 112,Sum = 560. Average = 560 ÷ 5 = 112.,Math,Averages
"What is the average of 195, 116, 20, 62, 11, 130?",89,73,86,106,A) 89,Sum = 534. Average = 534 ÷ 6 = 89.,Math,Averages
What is 1500 ÷ 30?,45,61,51,50,D) 50,"1500 ÷ 30 = 50, since 30 × 50 = 1500.",Math,Basic Math
Is 24 a prime number?,Cannot be determined,No,Only for even numbers,Yes,B) No,"24 is divisible by 2, so it is not a prime number.",Math,Number System
What is 32³?,33899,37226,32991,32768,D) 32768,32³ = 32×32×32 = 32768.,Math,Mathematical Operations
"If 4x + 19 = 187, what is the value of x?",38,41,35,42,D) 42,4x + 19 = 187 → 4x = 168 → x = 168 ÷ 4 = 42.,Math,Algebra
"What is the average of 192, 108, 58, 84, 88?",107,99,92,106,D) 106,Sum = 530. Average = 530 ÷ 5 = 106.,Math,Averages
₹57 is divided between two people in the ratio 15:4. What is the first person's share?,45,35,47,55,A) 45,Total parts = 15+4 = 19. One part = 57÷19 = 3. First share = 15×3 = 45.,Math,Ratios
What is 435.39 - 402.77?,32.62,29.27,35.08,41.03,A) 32.62,435.39 - 402.77 = 32.62.,Math,Decimals
"If 10x + 51 = 391, what is the value of x?",35,34,42,28,B) 34,10x + 51 = 391 → 10x = 340 → x = 340 ÷ 10 = 34.,Math,Algebra
What is 497.56 - 236.17?,261.39,258.53,264.04,268.28,A) 261.39,497.56 - 236.17 = 261.39.,Math,Decimals
"What is the average of 67, 37, 49?",42,51,58,53,B) 51,Sum = 153. Average = 153 ÷ 3 = 51.,Math,Averages
"If 2x + 3 = 61, what is the value of x?",34,24,29,37,C) 29,2x + 3 = 61 → 2x = 58 → x = 58 ÷ 2 = 29.,Math,Algebra
What is 476.21 - 71.17?,409.51,405.04,402.85,414.27,B) 405.04,476.21 - 71.17 = 405.04.,Math,Decimals
"If 9x + 63 = 495, what is the value of x?",54,41,52,48,D) 48,9x + 63 = 495 → 9x = 432 → x = 432 ÷ 9 = 48.,Math,Algebra
What is 146.41 - 142.84?,6.19,-1.4,3.57,11.32,C) 3.57,146.41 - 142.84 = 3.57.,Math,Decimals
₹160 is divided between two people in the ratio 9:7. What is the first person's share?,104,74,90,96,C) 90,Total parts = 9+7 = 16. One part = 160÷16 = 10. First share = 9×10 = 90.,Math,Ratios
What is 373.78 - 352.51?,23.76,30.95,20.48,21.27,D) 21.27,373.78 - 352.51 = 21.27.,Math,Decimals
"If 11x + 45 = 419, what is the value of x?",34,31,37,29,A) 34,11x + 45 = 419 → 11x = 374 → x = 374 ÷ 11 = 34.,Math,Algebra
"What is the average of 65, 48, 169, 194?",140,119,108,104,B) 119,Sum = 476. Average = 476 ÷ 4 = 119.,Math,Averages
What is 2736 + 6304?,10035,8649,9040,8164,C) 9040,2736 + 6304 = 9040.,Math,Basic Math
What is 122.9 + 120.49?,248.21,249.19,243.39,238.65,C) 243.39,122.9 + 120.49 = 243.39.,Math,Decimals
What is 9249 + 4503?,13752,14379,14542,12258,A) 13752,9249 + 4503 = 13752.,Math,Basic Math
"What is the average of 161, 35, 13, 139?",87,95,77,70,A) 87,Sum = 348. Average = 348 ÷ 4 = 87.,Math,Averages
A number multiplied by 2 gives 66. What is the number?,28,30,29,33,D) 33,Let the number be x. 2x = 66 → x = 66 ÷ 2 = 33.,Math,Equations
"What is the average of 4, 172, 27, 98, 19, 196?",79,84,86,85,C) 86,Sum = 516. Average = 516 ÷ 6 = 86.,Math,Averages
"What is the average of 92, 4, 64, 191, 73, 62?",86,70,81,97,C) 81,Sum = 486. Average = 486 ÷ 6 = 81.,Math,Averages
What is 1710 ÷ 19?,88,70,76,90,D) 90,"1710 ÷ 19 = 90, since 19 × 90 = 1710.",Math,Basic Math
"What is the average of 197, 101, 193, 25?",129,110,116,114,A) 129,Sum = 516. Average = 516 ÷ 4 = 129.,Math,Averages
"If 9x + 23 = 437, what is the value of x?",49,41,46,53,C) 46,9x + 23 = 437 → 9x = 414 → x = 414 ÷ 9 = 46.,Math,Algebra
"What is the average of 120, 70, 167, 2, 173, 20?",95,103,92,86,C) 92,Sum = 552. Average = 552 ÷ 6 = 92.,Math,Averages
What is 986 ÷ 29?,35,37,33,34,D) 34,"986 ÷ 29 = 34, since 29 × 34 = 986.",Math,Basic Math
"If 14x + 59 = 367, what is the value of x?",15,22,28,16,B) 22,14x + 59 = 367 → 14x = 308 → x = 308 ÷ 14 = 22.,Math,Algebra
What is √225?,16,15,20,13,B) 15,"√225 = 15, because 15×15 = 225.",Math,Mathematical Operations
Is 8318 an even or odd number?,Odd,Even,Neither,Both,B) Even,"8318 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
"If 2x + 53 = 123, what is the value of x?",37,31,36,35,D) 35,2x + 53 = 123 → 2x = 70 → x = 70 ÷ 2 = 35.,Math,Algebra
"If 2x + 14 = 56, what is the value of x?",28,29,21,15,C) 21,2x + 14 = 56 → 2x = 42 → x = 42 ÷ 2 = 21.,Math,Algebra
"If 14x + 16 = 548, what is the value of x?",39,38,32,41,B) 38,14x + 16 = 548 → 14x = 532 → x = 532 ÷ 14 = 38.,Math,Algebra
What is 39 × 31?,1192,1209,1221,1081,B) 1209,39 × 31 = 1209.,Math,Basic Math
"If 2x + 54 = 100, what is the value of x?",25,22,23,27,C) 23,2x + 54 = 100 → 2x = 46 → x = 46 ÷ 2 = 23.,Math,Algebra
"If 11x + 13 = 90, what is the value of x?",12,7,4,8,B) 7,11x + 13 = 90 → 11x = 77 → x = 77 ÷ 11 = 7.,Math,Algebra
What is 55 ÷ 5?,13,10,11,9,C) 11,"55 ÷ 5 = 11, since 5 × 11 = 55.",Math,Basic Math
"If 9x + 57 = 237, what is the value of x?",13,23,21,20,D) 20,9x + 57 = 237 → 9x = 180 → x = 180 ÷ 9 = 20.,Math,Algebra
What is 8013 - 2017?,5830,5996,6084,6066,B) 5996,8013 - 2017 = 5996.,Math,Basic Math
What is 289.25 - 49.03?,240.22,247.01,244.57,239.2,A) 240.22,289.25 - 49.03 = 240.22.,Math,Decimals
"What is the average of 196, 130, 145?",160,181,157,132,C) 157,Sum = 471. Average = 471 ÷ 3 = 157.,Math,Averages
₹84 is divided between two people in the ratio 9:5. What is the first person's share?,48,54,50,42,B) 54,Total parts = 9+5 = 14. One part = 84÷14 = 6. First share = 9×6 = 54.,Math,Ratios
"What is the average of 114, 56, 104, 110, 136?",116,86,104,84,C) 104,Sum = 520. Average = 520 ÷ 5 = 104.,Math,Averages
"What is the average of 178, 3, 185?",112,107,129,122,D) 122,Sum = 366. Average = 366 ÷ 3 = 122.,Math,Averages
What is 9817 - 4934?,4527,4510,5277,4883,D) 4883,9817 - 4934 = 4883.,Math,Basic Math
₹78 is divided between two people in the ratio 11:15. What is the first person's share?,26,32,34,33,D) 33,Total parts = 11+15 = 26. One part = 78÷26 = 3. First share = 11×3 = 33.,Math,Ratios
What is 5618 - 1880?,3420,3581,3738,3855,C) 3738,5618 - 1880 = 3738.,Math,Basic Math
"If 4x + 65 = 257, what is the value of x?",48,47,42,43,A) 48,4x + 65 = 257 → 4x = 192 → x = 192 ÷ 4 = 48.,Math,Algebra
"If 13x + 38 = 220, what is the value of x?",22,12,20,14,D) 14,13x + 38 = 220 → 13x = 182 → x = 182 ÷ 13 = 14.,Math,Algebra
₹104 is divided between two people in the ratio 9:4. What is the first person's share?,64,72,76,59,B) 72,Total parts = 9+4 = 13. One part = 104÷13 = 8. First share = 9×8 = 72.,Math,Ratios
"If 6x + 74 = 374, what is the value of x?",53,52,50,45,C) 50,6x + 74 = 374 → 6x = 300 → x = 300 ÷ 6 = 50.,Math,Algebra
