Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ವಿಶ್ವದ ಅತಿ ದೊಡ್ಡ ಖಂಡ ಯಾವುದು?,ಪೆಸಿಫಿಕ್ ಸಾಗರ,ನೈಲ್ ನದಿ,ಏಷ್ಯಾ,ಮೌಂಟ್ ಎವರೆಸ್ಟ್,C) ಏಷ್ಯಾ,ಏಷ್ಯಾ ವಿಸ್ತೀರ್ಣ ಮತ್ತು ಜನಸಂಖ್ಯೆಯಲ್ಲಿ ವಿಶ್ವದ ಅತಿ ದೊಡ್ಡ ಖಂಡವಾಗಿದೆ.,ಕನ್ನಡ,ಭೂಗೋಳ
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ಭಾರತದ ಬಾಹ್ಯಾಕಾಶ ಸಂಶೋಧನಾ ಸಂಸ್ಥೆಗೆ ಏನೆಂದು ಕರೆಯುತ್ತಾರೆ?,ಚಂದ್ರ,ಇಸ್ರೋ (ISRO),ಬುಧ,ಎಂಟು,B) ಇಸ್ರೋ (ISRO),ಇಸ್ರೋ ಎಂಬುದು ಭಾರತೀಯ ಬಾಹ್ಯಾಕಾಶ ಸಂಶೋಧನಾ ಸಂಸ್ಥೆಯ ಸಂಕ್ಷಿಪ್ತ ಹೆಸರಾಗಿದೆ.,ಕನ್ನಡ,ಬಾಹ್ಯಾಕಾಶ ಮತ್ತು ಖಗೋಳಶಾಸ್ತ್ರ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ವರ್ಚುವಲ್ ರಿಯಾಲಿಟಿ (VR) ಎಂದರೇನು?,ಡಿಜಿಟಲ್ ಮಾದರಿಯಿಂದ ಪದರ ಪದರವಾಗಿ ವಸ್ತುಗಳನ್ನು ನಿರ್ಮಿಸುವ ತಂತ್ರಜ್ಞಾನ,ನೈಜ ಜಗತ್ತಿನ ಮೇಲೆ ಡಿಜಿಟಲ್ ಮಾಹಿತಿಯನ್ನು ಅಳವಡಿಸುವ ತಂತ್ರಜ್ಞಾನ,ಕಂಪ್ಯೂಟರ್ ಸೃಷ್ಟಿಸಿದ ಆಳವಾದ ಅನುಭವ ನೀಡುವ ತಂತ್ರಜ್ಞಾನ,ಕೇಬಲ್ ಇಲ್ಲದೆ ಸಾಧನಗಳನ್ನು ನೆಟ್‌ವರ್ಕ್‌ಗೆ ಸಂಪರ್ಕಿಸುವ ವೈರ್‌ಲೆಸ್ ತಂತ್ರಜ್ಞಾನ,C) ಕಂಪ್ಯೂಟರ್ ಸೃಷ್ಟಿಸಿದ ಆಳವಾದ ಅನುಭವ ನೀಡುವ ತಂತ್ರಜ್ಞಾನ,"ವರ್ಚುವಲ್ ರಿಯಾಲಿಟಿ ಎಂಬುದು ಕಂಪ್ಯೂಟರ್ ಸೃಷ್ಟಿಸಿದ, ಬಳಕೆದಾರ ಸಂವಹನ ನಡೆಸಬಹುದಾದ ಆಳವಾದ ಅನುಭವ ನೀಡುವ ತಂತ್ರಜ್ಞಾನ.",ಕನ್ನಡ,ತಂತ್ರಜ್ಞಾನ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಕಂಪ್ಯೂಟರ್ ಹಾರ್ಡ್‌ವೇರ್ ಮತ್ತು ಇತರ ಸಾಫ್ಟ್‌ವೇರ್‌ಗಳನ್ನು ನಿರ್ವಹಿಸುವ ಪ್ರಮುಖ ಸಾಫ್ಟ್‌ವೇರ್ ಯಾವುದು?,ಸಿಪಿಯು,ಹಾರ್ಡ್ ಡಿಸ್ಕ್,ಆಪರೇಟಿಂಗ್ ಸಿಸ್ಟಂ,RAM,C) ಆಪರೇಟಿಂಗ್ ಸಿಸ್ಟಂ,ಆಪರೇಟಿಂಗ್ ಸಿಸ್ಟಂ ಕಂಪ್ಯೂಟರ್‌ನ ಹಾರ್ಡ್‌ವೇರ್ ಸಂಪನ್ಮೂಲಗಳನ್ನು ನಿರ್ವಹಿಸುತ್ತದೆ ಮತ್ತು ಇತರ ಸಾಫ್ಟ್‌ವೇರ್‌ಗಳಿಗೆ ವೇದಿಕೆ ಒದಗಿಸುತ್ತದೆ.,ಕನ್ನಡ,ಕಂಪ್ಯೂಟರ್ ಮೂಲಾಂಶಗಳು
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಚದುರಂಗ (ಚೆಸ್) ಆಟದಲ್ಲಿ ಪ್ರತಿ ಆಟಗಾರನಿಗೆ ಎಷ್ಟು ಕಾಯಿಗಳಿರುತ್ತವೆ?,ಹದಿನಾರು,ಶಟಲ್‌ಕಾಕ್,ಪಿಯರ್ ಡಿ ಕೂಬರ್ಟಿನ್,ವಿಂಬಲ್ಡನ್,A) ಹದಿನಾರು,ಪ್ರತಿ ಚದುರಂಗ ಆಟಗಾರನಿಗೆ ಆಟದ ಆರಂಭದಲ್ಲಿ ಹದಿನಾರು ಕಾಯಿಗಳಿರುತ್ತವೆ.,ಕನ್ನಡ,ಕ್ರೀಡೆಗಳು
ಪ್ರಶ್ನೆ: 100 ಅಂತರರಾಷ್ಟ್ರೀಯ ಶತಕಗಳನ್ನು ಗಳಿಸಿದ ಏಕೈಕ ಆಟಗಾರ ಯಾರು?,ಕಾಟ್ ಔಟ್,ಮುತ್ತಯ್ಯ ಮುರಳೀಧರನ್,ಸಚಿನ್ ತೆಂಡೂಲ್ಕರ್,ಹ್ಯಾಟ್ರಿಕ್,C) ಸಚಿನ್ ತೆಂಡೂಲ್ಕರ್,ಸಚಿನ್ ತೆಂಡೂಲ್ಕರ್ ಟೆಸ್ಟ್ ಮತ್ತು ಏಕದಿನ ಪಂದ್ಯಗಳಲ್ಲಿ ಒಟ್ಟು 100 ಅಂತರರಾಷ್ಟ್ರೀಯ ಶತಕಗಳನ್ನು ಗಳಿಸಿದ ಏಕೈಕ ಆಟಗಾರ.,ಕನ್ನಡ,ಕ್ರಿಕೆಟ್
ಪ್ರಶ್ನೆ: ಸ್ವತಂತ್ರ ಭಾರತದ ಮೊದಲ ಪ್ರಧಾನ ಮಂತ್ರಿ ಯಾರು?,ಇಂದಿರಾ ಗಾಂಧಿ,ಡಾ. ಬಿ. ಆರ್. ಅಂಬೇಡ್ಕರ್,ಜವಾಹರಲಾಲ್ ನೆಹರು,ಎ. ಪಿ. ಜೆ. ಅಬ್ದುಲ್ ಕಲಾಂ,C) ಜವಾಹರಲಾಲ್ ನೆಹರು,ಜವಾಹರಲಾಲ್ ನೆಹರು 1947 ರಿಂದ 1964 ರವರೆಗೆ ಭಾರತದ ಮೊದಲ ಪ್ರಧಾನ ಮಂತ್ರಿಯಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸಿದರು.,ಕನ್ನಡ,ಪ್ರಸಿದ್ಧ ವ್ಯಕ್ತಿಗಳು
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ನಶಿಸಿಹೋಗುವ ಅಪಾಯದಲ್ಲಿರುವ ಪ್ರಾಣಿ ಪ್ರಭೇದಗಳಿಗೆ ಏನೆಂದು ಕರೆಯುತ್ತಾರೆ?,ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ ಪ್ರಭೇದಗಳು,ವಾಯು ಮಾಲಿನ್ಯ,ದ್ಯುತಿಸಂಶ್ಲೇಷಣೆ,ವನ್ಯಜೀವಿ ಅಭಯಾರಣ್ಯ,A) ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ ಪ್ರಭೇದಗಳು,ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ ಪ್ರಭೇದಗಳೆಂದರೆ ಜನಸಂಖ್ಯೆ ತೀವ್ರವಾಗಿ ಕುಸಿದು ಅಳಿವಿನ ಅಪಾಯ ಎದುರಿಸುತ್ತಿರುವ ಪ್ರಾಣಿಗಳು.,ಕನ್ನಡ,ಪರಿಸರ
"ಆಲೋಚನೆ, ಸ್ಮರಣೆ ಮತ್ತು ಭಾವನೆಗಳನ್ನು ನಿಯಂತ್ರಿಸುವ ಅಂಗ ಯಾವುದು?",ಕೆಂಪು ರಕ್ತ ಕಣಗಳು,206,ಚರ್ಮ,ಮಿದುಳು,D) ಮಿದುಳು,"ಮಿದುಳು ನರವ್ಯೂಹದ ನಿಯಂತ್ರಣಾ ಕೇಂದ್ರವಾಗಿದ್ದು, ಆಲೋಚನೆ, ಸ್ಮರಣೆ ಮತ್ತು ಭಾವನೆಗಳನ್ನು ನಿಯಂತ್ರಿಸುತ್ತದೆ.",ಕನ್ನಡ,ಆರೋಗ್ಯ ಮತ್ತು ಮಾನವ ದೇಹ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಕರ್ನಾಟಕ ಏಕೀಕರಣ ಚಳುವಳಿಯ ಮುಖ್ಯ ಗುರಿ ಏನಾಗಿತ್ತು?,ವಿಜಯನಗರ ಸಾಮ್ರಾಜ್ಯ,ದಕ್ಷಿಣ ಕರ್ನಾಟಕ,ಮೈಸೂರಿನ ಹುಲಿ,ಕನ್ನಡ ಮಾತನಾಡುವ ಪ್ರದೇಶಗಳ ಏಕೀಕರಣ,D) ಕನ್ನಡ ಮಾತನಾಡುವ ಪ್ರದೇಶಗಳ ಏಕೀಕರಣ,ಕರ್ನಾಟಕ ಏಕೀಕರಣ ಚಳುವಳಿಯು ವಿವಿಧ ಆಡಳಿತ ಪ್ರದೇಶಗಳಲ್ಲಿ ಹಂಚಿಹೋಗಿದ್ದ ಕನ್ನಡ ಮಾತನಾಡುವ ಪ್ರದೇಶಗಳನ್ನು ಒಂದುಗೂಡಿಸುವ ಗುರಿ ಹೊಂದಿತ್ತು.,ಕನ್ನಡ,ಕರ್ನಾಟಕ ಇತಿಹಾಸ
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ಕರ್ನಾಟಕದ ಬಯಲುಸೀಮೆ ಪ್ರದೇಶ ಯಾವುದಕ್ಕೆ ಹೆಸರುವಾಸಿ?,ಉತ್ತರ ಪ್ರದೇಶ,ದಟ್ಟ ಅರಣ್ಯ ಮತ್ತು ಹೆಚ್ಚಿನ ಮಳೆ,ಒಣ ಹವಾಮಾನ ಮತ್ತು ಕಡಿಮೆ ಮಳೆ,ಕರಾವಳಿ ಕರ್ನಾಟಕ,C) ಒಣ ಹವಾಮಾನ ಮತ್ತು ಕಡಿಮೆ ಮಳೆ,ಬಯಲುಸೀಮೆ ಪ್ರದೇಶವು ತುಲನಾತ್ಮಕವಾಗಿ ಒಣ ಹವಾಮಾನ ಮತ್ತು ಕಡಿಮೆ ಮಳೆಗೆ ಹೆಸರುವಾಸಿಯಾಗಿದೆ.,ಕನ್ನಡ,ಕರ್ನಾಟಕ ಭೂಗೋಳ
ಪ್ರಶ್ನೆ: ಕರ್ನಾಟಕ ಸಂಗೀತ ಪ್ರಕಾರದ ಪಿತಾಮಹ ಎಂದು ಯಾರನ್ನು ಕರೆಯುತ್ತಾರೆ?,ಪುರಂದರ ದಾಸರು,ಕರಾವಳಿ ಕರ್ನಾಟಕ (ತುಳುನಾಡು),ಶಿವನ ಆರಾಧನೆಗೆ ಸಂಬಂಧಿಸಿದ ಶಕ್ತಿಶಾಲಿ ಜಾನಪದ ನೃತ್ಯ,ಡೊಳ್ಳು ಎಂಬ ದೊಡ್ಡ ಡ್ರಮ್‌ಗಳೊಂದಿಗೆ ಮಾಡುವ ಜಾನಪದ ನೃತ್ಯ,A) ಪುರಂದರ ದಾಸರು,ಪುರಂದರ ದಾಸರನ್ನು ಕರ್ನಾಟಕ ಸಂಗೀತದ ಪಿತಾಮಹ ಎಂದು ಗೌರವಿಸಲಾಗುತ್ತದೆ.,ಕನ್ನಡ,ಕರ್ನಾಟಕ ಸಂಸ್ಕೃತಿ
ಕರ್ನಾಟಕದಲ್ಲಿ 'ಬೆಳಕಿನ ಹಬ್ಬ' ಎಂದು ಕರೆಯಲ್ಪಡುವ ಹಬ್ಬ ಯಾವುದು?,ಗೌರಿ ಹಬ್ಬ,ದಸರಾ,ಕಾರಹುಣ್ಣಿಮೆ,ದೀಪಾವಳಿ,D) ದೀಪಾವಳಿ,ದೀಪಾವಳಿಯನ್ನು 'ಬೆಳಕಿನ ಹಬ್ಬ' ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ ಮತ್ತು ಕರ್ನಾಟಕದಾದ್ಯಂತ ಸಂಭ್ರಮದಿಂದ ಆಚರಿಸಲಾಗುತ್ತದೆ.,ಕನ್ನಡ,ಕರ್ನಾಟಕ ಹಬ್ಬಗಳು
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ಮೈಸೂರು ಅರಮನೆಯನ್ನು ಯಾವ ರಾಜವಂಶ ನಿರ್ಮಿಸಿತು?,ಶರಾವತಿ ನದಿ,ಒಡೆಯರ್ ರಾಜವಂಶ,ಹೊಯ್ಸಳ ದೇವಾಲಯ ವಾಸ್ತುಶಿಲ್ಪ,ಪವಿತ್ರ ದೇವಾಲಯ ಮತ್ತು ಕಡಲತೀರಗಳು,B) ಒಡೆಯರ್ ರಾಜವಂಶ,ಮೈಸೂರು ಅರಮನೆಯನ್ನು ಒಡೆಯರ್ ರಾಜವಂಶದ ಆಳ್ವಿಕೆಯಲ್ಲಿ ನಿರ್ಮಿಸಲಾಯಿತು.,ಕನ್ನಡ,ಕರ್ನಾಟಕ ಪ್ರಸಿದ್ಧ ಸ್ಥಳಗಳು
ಕರ್ನಾಟಕದ ಮೊದಲ ಮುಖ್ಯಮಂತ್ರಿ ಯಾರು?,ಡಾ. ರಾಜ್‌ಕುಮಾರ್,ಎಂಜಿನಿಯರಿಂಗ್,ಕೆಂಗಲ್ ಹನುಮಂತಯ್ಯ,ಪುರಂದರ ದಾಸರು,C) ಕೆಂಗಲ್ ಹನುಮಂತಯ್ಯ,ಕೆಂಗಲ್ ಹನುಮಂತಯ್ಯ ಅವಿಭಜಿತ ಮೈಸೂರು ರಾಜ್ಯದ ಮುಖ್ಯಮಂತ್ರಿಯಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸಿದ್ದರು.,ಕನ್ನಡ,ಕರ್ನಾಟಕ ಪ್ರಸಿದ್ಧ ವ್ಯಕ್ತಿತ್ವಗಳು
"ಈ ಪದದ ಅರ್ಥವನ್ನು ಗುರುತಿಸಿ: ""ಬಂಡಿ""",ಸಾಯಂಕಾಲ,ಬಸ್ಸು,ನಿಜ,ರಾಜಕೀಯ,B) ಬಸ್ಸು,"""ಬಂಡಿ"" ಎಂದರೆ ""ಬಸ್ಸು"" ಎಂದರ್ಥ.",ಕನ್ನಡ,ಕನ್ನಡ ಶಬ್ದಕೋಶ
ಪ್ರಶ್ನೆ: ಕರ್ಮ ಎಂದರೇನು (ವ್ಯಾಕರಣದಲ್ಲಿ)?,ಕ್ರಿಯೆಯ ಪರಿಣಾಮವನ್ನು ಪಡೆಯುವ ವಸ್ತು,ಕ್ರಿಯಾಪದದ ಬಗ್ಗೆ ಹೆಚ್ಚಿನ ಮಾಹಿತಿ ನೀಡುವ ಪದ,ಒಂದೇ ವಸ್ತು ಅಥವಾ ವ್ಯಕ್ತಿಯನ್ನು ಸೂಚಿಸುವ ರೂಪ,ನಾಮಪದದ ಗುಣವನ್ನು ವಿವರಿಸುವ ಪದ,A) ಕ್ರಿಯೆಯ ಪರಿಣಾಮವನ್ನು ಪಡೆಯುವ ವಸ್ತು,ಕರ್ಮವು ವಾಕ್ಯದಲ್ಲಿ ಕ್ರಿಯೆಯ ಪರಿಣಾಮ ಬೀಳುವ ವಸ್ತು ಅಥವಾ ವ್ಯಕ್ತಿ.,ಕನ್ನಡ,ಕನ್ನಡ ವ್ಯಾಕರಣ
"""ಕನಸು"" ಪದದ ಸಮಾನಾರ್ಥಕ ಪದ ಯಾವುದು?",ಮಿತ್ರ,ಸ್ವಪ್ನ,ಸ್ವಾಸ್ಥ್ಯ,ಅಸತ್ಯ,B) ಸ್ವಪ್ನ,"""ಸ್ವಪ್ನ"" ಎಂಬುದು ""ಕನಸು"" ಪದದ ಸಮಾನಾರ್ಥಕ ಪದವಾಗಿದೆ.",ಕನ್ನಡ,ಕನ್ನಡ ಸಮಾನಾರ್ಥಕ ಪದಗಳು
"""ಭಾರ"" ಗೆ ವಿರುದ್ಧಾರ್ಥಕ ಪದವನ್ನು ಆರಿಸಿ.",ಅನಾರೋಗ್ಯ,ತಗ್ಗು,ಹಗುರ,ಮುಚ್ಚಿದ,C) ಹಗುರ,"""ಹಗುರ"" ಎಂಬುದು ""ಭಾರ"" ಪದದ ವಿರುದ್ಧಾರ್ಥಕ ಪದವಾಗಿದೆ.",ಕನ್ನಡ,ಕನ್ನಡ ವಿರುದ್ಧಾರ್ಥಕ ಪದಗಳು
'ಆರೋಗ್ಯವೇ ಭಾಗ್ಯ' ಎಂಬ ಗಾದೆಯ ಅರ್ಥವೇನು?,ಒಗ್ಗಟ್ಟಿನಲ್ಲಿ ಬಲವಿದೆ,ಆರೋಗ್ಯವೇ ಜೀವನದ ದೊಡ್ಡ ಸಂಪತ್ತು,ಅಪೂರ್ಣ ಜ್ಞಾನ ಅಪಾಯಕಾರಿ ಎಂದು ಸೂಚಿಸುತ್ತದೆ,ಕಾಲ ಎಲ್ಲರಿಗೂ ಬದಲಾಗುತ್ತದೆ,B) ಆರೋಗ್ಯವೇ ಜೀವನದ ದೊಡ್ಡ ಸಂಪತ್ತು,ಈ ಗಾದೆ ಆರೋಗ್ಯವನ್ನು ಜೀವನದ ಅತಿ ದೊಡ್ಡ ಸಂಪತ್ತು ಎಂದು ಬಣ್ಣಿಸುತ್ತದೆ.,ಕನ್ನಡ,ಕನ್ನಡ ಗಾದೆಗಳು
ಪ್ರಶ್ನೆ: 'ಬೆನ್ನು ತಟ್ಟು' ಎಂಬ ನುಡಿಗಟ್ಟಿನ ಅರ್ಥವೇನು?,ಕೆಟ್ಟ ಸಲಹೆ ನೀಡುವುದು,ಅತಿಯಾಗಿ ಮಾತನಾಡುವ ಅಭ್ಯಾಸ,ಸಹಾಯ ಮಾಡುವುದನ್ನು ನಿಲ್ಲಿಸುವುದು,ಪ್ರೋತ್ಸಾಹಿಸುವುದು ಅಥವಾ ಶ್ಲಾಘಿಸುವುದು,D) ಪ್ರೋತ್ಸಾಹಿಸುವುದು ಅಥವಾ ಶ್ಲಾಘಿಸುವುದು,'ಬೆನ್ನು ತಟ್ಟು' ಎಂದರೆ ಯಾರನ್ನಾದರೂ ಪ್ರಶಂಸಿಸುವುದು ಅಥವಾ ಪ್ರೋತ್ಸಾಹಿಸುವುದು ಎಂದರ್ಥ.,ಕನ್ನಡ,ಕನ್ನಡ ನುಡಿಗಟ್ಟುಗಳು
ಪ್ರಶ್ನೆ: 'ಜೈಮಿನಿ ಭಾರತ' ಕೃತಿಯ ಕರ್ತೃ ಯಾರು?,ಲಕ್ಷ್ಮೀಶ,ವಚನ,ಕುವೆಂಪು,ಪ್ರಭುಲಿಂಗಲೀಲೆ,A) ಲಕ್ಷ್ಮೀಶ,'ಜೈಮಿನಿ ಭಾರತ' ಕೃತಿಯನ್ನು ಕವಿ ಲಕ್ಷ್ಮೀಶ ರಚಿಸಿದ್ದಾರೆ.,ಕನ್ನಡ,ಕನ್ನಡ ಸಾಹಿತ್ಯ
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ಶಿವರಾಮ ಕಾರಂತರು ಯಾವ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಪ್ರಸಿದ್ಧರಾಗಿದ್ದರು?,ಕರ್ನಾಟಕ ಸಂಗೀತದ ಪಿತಾಮಹ,ಕುಪ್ಪಳ್ಳಿ ವೆಂಕಟಪ್ಪ ಪುಟ್ಟಪ್ಪ,"ಸಾಹಿತ್ಯ, ಚಿತ್ರಕಲೆ ಮತ್ತು ಯಕ್ಷಗಾನ",ಎಂಟು,"C) ಸಾಹಿತ್ಯ, ಚಿತ್ರಕಲೆ ಮತ್ತು ಯಕ್ಷಗಾನ","ಶಿವರಾಮ ಕಾರಂತರು ಸಾಹಿತ್ಯ, ಚಿತ್ರಕಲೆ ಮತ್ತು ಯಕ್ಷಗಾನ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಬಹುಮುಖ ಪ್ರತಿಭೆಯಾಗಿದ್ದರು.",ಕನ್ನಡ,ಕನ್ನಡ ಕವಿಗಳು ಮತ್ತು ಲೇಖಕರು
ಈ ಪದದ ಸರಿಯಾದ ಬರವಣಿಗೆಯನ್ನು ಆರಿಸಿ.,ಆಡಳಿತ,ಆಡಿತ,ಆಡಳತಿ,ಆಳಡಿತ,A) ಆಡಳಿತ,"""ಆಡಳಿತ"" ಎಂಬುದು ಸರಿಯಾದ ಕಾಗುಣಿತವಾಗಿದೆ.",ಕನ್ನಡ,ಕನ್ನಡ ಕಾಗುಣಿತ
"""ನ್ಯಾಯ"" ಪದದ ಅರ್ಥ ಏನು?",ಅಸತ್ಯ,ಎಲೆ,ಧರ್ಮ,ಸಮಯ,C) ಧರ್ಮ,"""ನ್ಯಾಯ"" ಪದದ ಅರ್ಥ ""ಧರ್ಮ"" ಆಗಿದೆ.",ಕನ್ನಡ,ಕನ್ನಡ ಅರ್ಥಗಳು
ಕನ್ನಡ ಭಾಷೆಗೆ ಶಾಸ್ತ್ರೀಯ ಸ್ಥಾನಮಾನ ಯಾವ ವರ್ಷ ದೊರೆಯಿತು?,ನವೆಂಬರ್ 1,2008,ಸುಮಾರು ಎಂಟನೇ ಸ್ಥಾನ,ಕನ್ನಡ,B) 2008,ಕನ್ನಡ ಭಾಷೆಗೆ 2008 ರಲ್ಲಿ ಶಾಸ್ತ್ರೀಯ ಭಾಷೆಯ ಸ್ಥಾನಮಾನ ದೊರೆಯಿತು.,ಕನ್ನಡ,ಕನ್ನಡ ಭಾಷಾ ಸಂಗತಿಗಳು
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: 'ಸರ್ವಜ್ಞ' ಎಂಬ ಕವಿ ಯಾವ ಪ್ರಕಾರದ ಕವನಗಳಿಗೆ ಪ್ರಸಿದ್ಧರು?,ಪಂಪನ 'ವಿಕ್ರಮಾರ್ಜುನ ವಿಜಯ',ತ್ರಿಪದಿಗಳು,ಆನೆ,ಹಲ್ಮಿಡಿ ಶಾಸನ,B) ತ್ರಿಪದಿಗಳು,ಸರ್ವಜ್ಞ ಕವಿ ಮೂರು ಸಾಲಿನ ತ್ರಿಪದಿ ಕವನಗಳಿಗೆ ಪ್ರಸಿದ್ಧರಾಗಿದ್ದಾರೆ.,ಕನ್ನಡ,ಕನ್ನಡ ಸಾಮಾನ್ಯ ಜ್ಞಾನ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಕರ್ನಾಟಕದಲ್ಲಿ ಯಾವ ನದಿಗೆ ಅಡ್ಡಲಾಗಿ ಕೃಷ್ಣರಾಜಸಾಗರ ಅಣೆಕಟ್ಟು ನಿರ್ಮಿಸಲಾಗಿದೆ?,ಕಾವೇರಿ,ಬಂಡೀಪುರ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನ,224,ರಾಗಿ,A) ಕಾವೇರಿ,ಕೃಷ್ಣರಾಜಸಾಗರ ಅಣೆಕಟ್ಟನ್ನು ಕಾವೇರಿ ನದಿಗೆ ಅಡ್ಡಲಾಗಿ ನಿರ್ಮಿಸಲಾಗಿದೆ.,ಕನ್ನಡ,ಕರ್ನಾಟಕ ಸಾಮಾನ್ಯ ಜ್ಞಾನ
2/5 + 4/5 = ಎಷ್ಟು (ಸರಳ ರೂಪದಲ್ಲಿ)?,6/5,6/5,7/5,5/5,A) 6/5,2/5 + 4/5 = 6/5 = 6/5 (ಸರಳ ರೂಪ).,ಕನ್ನಡ,ಗಣಿತ
ಬಲದ ಎಸ್‌ಐ ಘಟಕ ಯಾವುದು?,ಅಲೆಕ್ಸಾಂಡರ್ ಫ್ಲೆಮಿಂಗ್,ದ್ಯುತಿಸಂಶ್ಲೇಷಣೆ,100°C,ನ್ಯೂಟನ್,D) ನ್ಯೂಟನ್,ಬಲದ ಎಸ್‌ಐ ಘಟಕವನ್ನು ನ್ಯೂಟನ್ ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ.,ಕನ್ನಡ,ವಿಜ್ಞಾನ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಜನಗಣತಿ ಎಂದರೇನು?,ನವದೆಹಲಿ,ಜನರಿಂದ ಆಯ್ಕೆಯಾದ ಪ್ರತಿನಿಧಿಗಳ ಮೂಲಕ ಆಡಳಿತ ನಡೆಸುವ ವ್ಯವಸ್ಥೆ,ಜನಸಂಖ್ಯೆಯ ಅಧಿಕೃತ ಎಣಿಕೆ,ಭೂಮಿಯನ್ನು ಉತ್ತರ ಮತ್ತು ದಕ್ಷಿಣ ಗೋಳಾರ್ಧಗಳಾಗಿ ವಿಭಜಿಸುವ ಕಾಲ್ಪನಿಕ ರೇಖೆ,C) ಜನಸಂಖ್ಯೆಯ ಅಧಿಕೃತ ಎಣಿಕೆ,ಜನಗಣತಿ ಎಂಬುದು ಒಂದು ದೇಶದ ಜನಸಂಖ್ಯೆಯನ್ನು ನಿಯತಕಾಲಿಕವಾಗಿ ಎಣಿಸುವ ಅಧಿಕೃತ ಪ್ರಕ್ರಿಯೆ.,ಕನ್ನಡ,ಸಮಾಜ ವಿಜ್ಞಾನ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಭಾರತದ ಸಂವಿಧಾನ ಜಾರಿಗೆ ಬಂದ ದಿನಾಂಕ ಯಾವುದು?,26 ಜನವರಿ 1950,ನವಿಲು,ಜವಾಹರಲಾಲ್ ನೆಹರು,ವ್ಯಾಟಿಕನ್ ಸಿಟಿ,A) 26 ಜನವರಿ 1950,ಭಾರತದ ಸಂವಿಧಾನ 26 ಜನವರಿ 1950 ರಂದು ಜಾರಿಗೆ ಬಂದಿತು.,ಕನ್ನಡ,ಸಾಮಾನ್ಯ ಜ್ಞಾನ
95141 ಈ ಸಂಖ್ಯೆಯಲ್ಲಿ 4 ಅಂಕಿಯ ಸ್ಥಾನ ಬೆಲೆ ಏನು?,ಹತ್ತರ ಸ್ಥಾನ,ನೂರರ ಸ್ಥಾನ,ಒಂದರ ಸ್ಥಾನ,ಸಾವಿರದ ಸ್ಥಾನ,A) ಹತ್ತರ ಸ್ಥಾನ,95141 ರಲ್ಲಿ 4 ಎಂಬ ಅಂಕಿಯು ಹತ್ತರ ಸ್ಥಾನದಲ್ಲಿ ಇದೆ.,ಕನ್ನಡ,ಸಂಖ್ಯಾ ಪ್ರಶ್ನೆಗಳು
"ಈ ಮಾದರಿಯ ಮುಂದಿನ ಸಂಖ್ಯೆ ಯಾವುದು: 36, 49, 64, 81, ?",110,98,100,93,C) 100,ಇದು ಸತತ ವರ್ಗ ಸಂಖ್ಯೆಗಳ ಸರಣಿ. ಮುಂದಿನ ಸಂಖ್ಯೆ = 10² = 100.,ಕನ್ನಡ,ಸಂಖ್ಯಾ ಒಗಟುಗಳು
