Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Find the next number in the series: 467, 288, 467, 288, 467, ?",292,288,290,283,B) 288,"The series alternates between 467 and 288. Since the last number is 467, the next number = 288.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 344, 78, 344, 78, 344, ?",78,82,83,75,A) 78,"The series alternates between 344 and 78. Since the last number is 344, the next number = 78.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 1567 and two of its numbers are 499 and 527, what is the third number?",622,578,541,611,C) 541,"Since the row total is 1567, the third number = 1567 - 499 - 527 = 541.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 2, 4, 9, 14, 15, ?",17,18,21,13,A) 17,"The differences between consecutive terms are 2, 5, 5, 1, increasing by 1 each time. The next difference is 2, so the next term = 15 + 2 = 17.",Number Puzzles,Number Patterns
"Find the next number in the series: 306, 202, 306, 202, 306, ?",198,199,204,202,D) 202,"The series alternates between 306 and 202. Since the last number is 306, the next number = 202.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 1481 and two of its numbers are 462 and 483, what is the third number?",622,536,472,487,B) 536,"Since the row total is 1481, the third number = 1481 - 462 - 483 = 536.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 642 and two of its numbers are 196 and 200, what is the third number?",286,204,246,203,C) 246,"Since the row total is 642, the third number = 642 - 196 - 200 = 246.",Number Puzzles,Magic Squares
Which of the following best describes 2123?,Composite number,Both prime and composite,Prime number,Neither prime nor composite,A) Composite number,"2123 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 39, 117, 39, 117, 39, ?",117,120,121,118,A) 117,"The series alternates between 39 and 117. Since the last number is 39, the next number = 117.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 2, 5, 6, 9, 14, ?",20,24,25,16,A) 20,"The differences between consecutive terms are 3, 1, 3, 5, increasing by 1 each time. The next difference is 6, so the next term = 14 + 6 = 20.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 468 and two of its numbers are 149 and 152, what is the third number?",188,200,162,167,D) 167,"Since the row total is 468, the third number = 468 - 149 - 152 = 167.",Number Puzzles,Magic Squares
"Find the next number in the series: 205, 192, 205, 192, 205, ?",187,194,192,195,C) 192,"The series alternates between 205 and 192. Since the last number is 205, the next number = 192.",Number Puzzles,Logic Number Puzzles
Which of the following best describes 2889?,Both prime and composite,Prime number,Neither prime nor composite,Composite number,D) Composite number,"2889 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 663, 665, 667, 669, 671, ?",672,675,673,671,C) 673,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 671 + 2 = 673.",Number Puzzles,Odd & Even
"Find the missing number in the series: 9, ?, 17, 21, 25.",9,15,13,10,C) 13,"The series increases by 4 each time, so the missing number = 9 + 4 = 13.",Number Puzzles,Missing Numbers
Which of the following best describes 2473?,Prime number,Neither prime nor composite,Both prime and composite,Composite number,A) Prime number,"2473 has no divisors other than 1 and itself, so it is prime.",Number Puzzles,Prime Numbers
"Find the next number in the series: 1412, 1414, 1416, 1418, 1420, ?",1418,1421,1422,1425,C) 1422,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1420 + 2 = 1422.",Number Puzzles,Odd & Even
Which of the following best describes 2078?,Prime number,Both prime and composite,Neither prime nor composite,Composite number,D) Composite number,"2078 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
Which of the following best describes 1572?,Composite number,Prime number,Both prime and composite,Neither prime nor composite,A) Composite number,"1572 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"In a 3×3 magic square, if one row sums to 1219 and two of its numbers are 372 and 409, what is the third number?",463,465,377,438,D) 438,"Since the row total is 1219, the third number = 1219 - 372 - 409 = 438.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 520 and two of its numbers are 146 and 176, what is the third number?",161,230,160,198,D) 198,"Since the row total is 520, the third number = 520 - 146 - 176 = 198.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 454 and two of its numbers are 128 and 172, what is the third number?",141,158,154,133,C) 154,"Since the row total is 454, the third number = 454 - 128 - 172 = 154.",Number Puzzles,Magic Squares
"Find the next number in the series: 1929, 1931, 1933, 1935, 1937, ?",1939,1943,1938,1942,A) 1939,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1937 + 2 = 1939.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 4, 9, 10, 12, 15, ?",19,17,14,13,A) 19,"The differences between consecutive terms are 5, 1, 2, 3, increasing by 1 each time. The next difference is 4, so the next term = 15 + 4 = 19.",Number Puzzles,Number Patterns
"Find the next number in the series: 9, 13, 17, 21, 25, ?",29,33,27,31,A) 29,Each term increases by 4 (an arithmetic progression). Next term = 25 + 4 = 29.,Number Puzzles,Number Series
"Find the next number in the series (differences increase by 1 each time): 4, 6, 11, 13, 16, ?",27,20,14,24,B) 20,"The differences between consecutive terms are 2, 5, 2, 3, increasing by 1 each time. The next difference is 4, so the next term = 16 + 4 = 20.",Number Puzzles,Number Patterns
"Find the next number in the series: 197, 490, 197, 490, 197, ?",490,487,486,489,A) 490,"The series alternates between 197 and 490. Since the last number is 197, the next number = 490.",Number Puzzles,Logic Number Puzzles
Which of the following best describes 1075?,Both prime and composite,Composite number,Prime number,Neither prime nor composite,B) Composite number,"1075 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 1913, 1915, 1917, 1919, 1921, ?",1923,1926,1924,1922,A) 1923,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1921 + 2 = 1923.",Number Puzzles,Odd & Even
"Find the next number in the series: 249, 435, 249, 435, 249, ?",431,435,439,440,B) 435,"The series alternates between 249 and 435. Since the last number is 249, the next number = 435.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 6, 10, 11, 12, 16, ?",23,21,28,15,B) 21,"The differences between consecutive terms are 4, 1, 1, 4, increasing by 1 each time. The next difference is 5, so the next term = 16 + 5 = 21.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 183 and two of its numbers are 41 and 57, what is the third number?",76,97,85,90,C) 85,"Since the row total is 183, the third number = 183 - 41 - 57 = 85.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 1344 and two of its numbers are 423 and 458, what is the third number?",437,395,392,463,D) 463,"Since the row total is 1344, the third number = 1344 - 423 - 458 = 463.",Number Puzzles,Magic Squares
"Find the next number in the series: 1638, 1640, 1642, 1644, 1646, ?",1644,1648,1645,1647,B) 1648,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1646 + 2 = 1648.",Number Puzzles,Odd & Even
"Find the next number in the series: 139, 393, 139, 393, 139, ?",395,392,390,393,D) 393,"The series alternates between 139 and 393. Since the last number is 139, the next number = 393.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 20, 30, 40, 50, 60, ?",74,65,68,70,D) 70,Each term increases by 10 (an arithmetic progression). Next term = 60 + 10 = 70.,Number Puzzles,Number Series
Which of the following best describes 1520?,Prime number,Neither prime nor composite,Composite number,Both prime and composite,C) Composite number,"1520 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
Which of the following best describes 1459?,Prime number,Composite number,Neither prime nor composite,Both prime and composite,A) Prime number,"1459 has no divisors other than 1 and itself, so it is prime.",Number Puzzles,Prime Numbers
"In a 3×3 magic square, if one row sums to 864 and two of its numbers are 257 and 270, what is the third number?",337,270,291,353,A) 337,"Since the row total is 864, the third number = 864 - 257 - 270 = 337.",Number Puzzles,Magic Squares
Which of the following best describes 2714?,Neither prime nor composite,Prime number,Composite number,Both prime and composite,C) Composite number,"2714 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 387, 403, 387, 403, 387, ?",403,405,398,400,A) 403,"The series alternates between 387 and 403. Since the last number is 387, the next number = 403.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 1344 and two of its numbers are 415 and 458, what is the third number?",565,380,545,471,D) 471,"Since the row total is 1344, the third number = 1344 - 415 - 458 = 471.",Number Puzzles,Magic Squares
"Find the next number in the series: 261, 356, 261, 356, 261, ?",360,355,356,361,C) 356,"The series alternates between 261 and 356. Since the last number is 261, the next number = 356.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 1748, 1750, 1752, 1754, 1756, ?",1757,1755,1756,1758,D) 1758,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1756 + 2 = 1758.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 1053 and two of its numbers are 342 and 353, what is the third number?",289,379,309,358,D) 358,"Since the row total is 1053, the third number = 1053 - 342 - 353 = 358.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 236 and two of its numbers are 52 and 102, what is the third number?",82,94,87,74,A) 82,"Since the row total is 236, the third number = 236 - 52 - 102 = 82.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 545 and two of its numbers are 165 and 181, what is the third number?",224,197,199,184,C) 199,"Since the row total is 545, the third number = 545 - 165 - 181 = 199.",Number Puzzles,Magic Squares
"Find the missing number in the series: 13, 24, 35, ?, 57.",35,46,55,53,B) 46,"The series increases by 11 each time, so the missing number = 35 + 11 = 46.",Number Puzzles,Missing Numbers
"Find the next number in the series: 433, 218, 433, 218, 433, ?",217,220,218,222,C) 218,"The series alternates between 433 and 218. Since the last number is 433, the next number = 218.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 1848, 1850, 1852, 1854, 1856, ?",1855,1858,1856,1857,B) 1858,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1856 + 2 = 1858.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 7, 12, 13, 15, 19, ?",32,24,33,23,B) 24,"The differences between consecutive terms are 5, 1, 2, 4, increasing by 1 each time. The next difference is 5, so the next term = 19 + 5 = 24.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 6, 11, 15, 18, 21, ?",25,27,24,32,A) 25,"The differences between consecutive terms are 5, 4, 3, 3, increasing by 1 each time. The next difference is 4, so the next term = 21 + 4 = 25.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 2, 5, 9, 12, 17, ?",29,23,27,18,B) 23,"The differences between consecutive terms are 3, 4, 3, 5, increasing by 1 each time. The next difference is 6, so the next term = 17 + 6 = 23.",Number Puzzles,Number Patterns
"Find the next number in the series: 358, 360, 362, 364, 366, ?",367,368,370,369,B) 368,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 366 + 2 = 368.",Number Puzzles,Odd & Even
"Find the next number in the series: 8, 19, 30, 41, 52, ?",64,63,56,54,B) 63,Each term increases by 11 (an arithmetic progression). Next term = 52 + 11 = 63.,Number Puzzles,Number Series
"Find the next number in the series: 363, 91, 363, 91, 363, ?",96,91,95,94,B) 91,"The series alternates between 363 and 91. Since the last number is 363, the next number = 91.",Number Puzzles,Logic Number Puzzles
"Find the missing number in the series: 15, ?, 37, 48, 59.",30,26,16,18,B) 26,"The series increases by 11 each time, so the missing number = 15 + 11 = 26.",Number Puzzles,Missing Numbers
"Find the missing number in the series: 4, 11, ?, 25, 32.",21,19,18,15,C) 18,"The series increases by 7 each time, so the missing number = 11 + 7 = 18.",Number Puzzles,Missing Numbers
Which of the following best describes 764?,Composite number,Prime number,Neither prime nor composite,Both prime and composite,A) Composite number,"764 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 486, 186, 486, 186, 486, ?",182,185,186,190,C) 186,"The series alternates between 486 and 186. Since the last number is 486, the next number = 186.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 318, 305, 318, 305, 318, ?",308,309,305,303,C) 305,"The series alternates between 318 and 305. Since the last number is 318, the next number = 305.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 206, 208, 210, 212, 214, ?",215,213,216,220,C) 216,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 214 + 2 = 216.",Number Puzzles,Odd & Even
"Find the next number in the series: 451, 453, 455, 457, 459, ?",463,461,458,460,B) 461,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 459 + 2 = 461.",Number Puzzles,Odd & Even
"Find the next number in the series: 248, 250, 252, 254, 256, ?",258,257,261,255,A) 258,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 256 + 2 = 258.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 5, 7, 10, 12, 15, ?",15,19,20,24,B) 19,"The differences between consecutive terms are 2, 3, 2, 3, increasing by 1 each time. The next difference is 4, so the next term = 15 + 4 = 19.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 993 and two of its numbers are 300 and 305, what is the third number?",388,440,332,394,A) 388,"Since the row total is 993, the third number = 993 - 300 - 305 = 388.",Number Puzzles,Magic Squares
"Find the next number in the series: 117, 85, 117, 85, 117, ?",85,86,84,81,A) 85,"The series alternates between 117 and 85. Since the last number is 117, the next number = 85.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 2, 4, 7, 10, 14, ?",19,25,28,27,A) 19,"The differences between consecutive terms are 2, 3, 3, 4, increasing by 1 each time. The next difference is 5, so the next term = 14 + 5 = 19.",Number Puzzles,Number Patterns
Which of the following best describes 1359?,Composite number,Neither prime nor composite,Both prime and composite,Prime number,A) Composite number,"1359 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
Which of the following best describes 512?,Both prime and composite,Composite number,Prime number,Neither prime nor composite,B) Composite number,"512 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
Which of the following best describes 2805?,Composite number,Both prime and composite,Neither prime nor composite,Prime number,A) Composite number,"2805 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series (differences increase by 1 each time): 6, 9, 12, 16, 17, ?",19,15,17,21,A) 19,"The differences between consecutive terms are 3, 3, 4, 1, increasing by 1 each time. The next difference is 2, so the next term = 17 + 2 = 19.",Number Puzzles,Number Patterns
"Find the next number in the series: 163, 158, 163, 158, 163, ?",158,157,154,160,A) 158,"The series alternates between 163 and 158. Since the last number is 163, the next number = 158.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 460, 245, 460, 245, 460, ?",245,243,241,242,A) 245,"The series alternates between 460 and 245. Since the last number is 460, the next number = 245.",Number Puzzles,Logic Number Puzzles
Which of the following best describes 1937?,Composite number,Both prime and composite,Neither prime nor composite,Prime number,A) Composite number,"1937 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 233, 235, 237, 239, 241, ?",242,240,241,243,D) 243,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 241 + 2 = 243.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 1096 and two of its numbers are 345 and 378, what is the third number?",406,373,378,407,B) 373,"Since the row total is 1096, the third number = 1096 - 345 - 378 = 373.",Number Puzzles,Magic Squares
"Find the next number in the series: 343, 316, 343, 316, 343, ?",320,316,318,321,B) 316,"The series alternates between 343 and 316. Since the last number is 343, the next number = 316.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 8, 11, 12, 13, 16, ?",24,16,20,27,C) 20,"The differences between consecutive terms are 3, 1, 1, 3, increasing by 1 each time. The next difference is 4, so the next term = 16 + 4 = 20.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 1011 and two of its numbers are 300 and 319, what is the third number?",361,403,392,378,C) 392,"Since the row total is 1011, the third number = 1011 - 300 - 319 = 392.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 1392 and two of its numbers are 435 and 472, what is the third number?",489,454,569,485,D) 485,"Since the row total is 1392, the third number = 1392 - 435 - 472 = 485.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 7, 9, 10, 12, 14, ?",17,22,18,21,A) 17,"The differences between consecutive terms are 2, 1, 2, 2, increasing by 1 each time. The next difference is 3, so the next term = 14 + 3 = 17.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 429 and two of its numbers are 123 and 161, what is the third number?",149,173,162,145,D) 145,"Since the row total is 429, the third number = 429 - 123 - 161 = 145.",Number Puzzles,Magic Squares
Which of the following best describes 1230?,Prime number,Both prime and composite,Composite number,Neither prime nor composite,C) Composite number,"1230 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series (differences increase by 1 each time): 3, 6, 8, 12, 15, ?",25,13,19,15,C) 19,"The differences between consecutive terms are 3, 2, 4, 3, increasing by 1 each time. The next difference is 4, so the next term = 15 + 4 = 19.",Number Puzzles,Number Patterns
"Find the next number in the series: 95, 214, 95, 214, 95, ?",212,216,219,214,D) 214,"The series alternates between 95 and 214. Since the last number is 95, the next number = 214.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 7, 8, 13, 15, 20, ?",26,21,22,25,A) 26,"The differences between consecutive terms are 1, 5, 2, 5, increasing by 1 each time. The next difference is 6, so the next term = 20 + 6 = 26.",Number Puzzles,Number Patterns
"Find the next number in the series: 615, 617, 619, 621, 623, ?",621,622,623,625,D) 625,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 623 + 2 = 625.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 6, 11, 12, 14, 19, ?",26,20,13,25,D) 25,"The differences between consecutive terms are 5, 1, 2, 5, increasing by 1 each time. The next difference is 6, so the next term = 19 + 6 = 25.",Number Puzzles,Number Patterns
"Find the next number in the series: 1518, 1520, 1522, 1524, 1526, ?",1527,1528,1532,1524,B) 1528,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1526 + 2 = 1528.",Number Puzzles,Odd & Even
"Find the next number in the series: 490, 32, 490, 32, 490, ?",31,32,27,29,B) 32,"The series alternates between 490 and 32. Since the last number is 490, the next number = 32.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 1339, 1341, 1343, 1345, 1347, ?",1351,1349,1346,1348,B) 1349,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1347 + 2 = 1349.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 553 and two of its numbers are 144 and 173, what is the third number?",195,215,236,208,C) 236,"Since the row total is 553, the third number = 553 - 144 - 173 = 236.",Number Puzzles,Magic Squares
"Find the next number in the series: 180, 488, 180, 488, 180, ?",488,492,489,490,A) 488,"The series alternates between 180 and 488. Since the last number is 180, the next number = 488.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 631 and two of its numbers are 184 and 219, what is the third number?",235,203,228,197,C) 228,"Since the row total is 631, the third number = 631 - 184 - 219 = 228.",Number Puzzles,Magic Squares
Which of the following best describes 2894?,Neither prime nor composite,Prime number,Composite number,Both prime and composite,C) Composite number,"2894 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 476, 89, 476, 89, 476, ?",90,89,85,93,B) 89,"The series alternates between 476 and 89. Since the last number is 476, the next number = 89.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 1, 4, 7, 11, 14, ?",18,12,20,14,A) 18,"The differences between consecutive terms are 3, 3, 4, 3, increasing by 1 each time. The next difference is 4, so the next term = 14 + 4 = 18.",Number Puzzles,Number Patterns
"Find the next number in the series: 112, 114, 116, 118, 120, ?",126,119,122,120,C) 122,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 120 + 2 = 122.",Number Puzzles,Odd & Even
"Find the next number in the series: 5, 20, 35, 50, 65, ?",80,93,73,94,A) 80,Each term increases by 15 (an arithmetic progression). Next term = 65 + 15 = 80.,Number Puzzles,Number Series
"Find the next number in the series: 1217, 1219, 1221, 1223, 1225, ?",1228,1224,1229,1227,D) 1227,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1225 + 2 = 1227.",Number Puzzles,Odd & Even
Which of the following best describes 2862?,Prime number,Both prime and composite,Composite number,Neither prime nor composite,C) Composite number,"2862 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 1829, 1831, 1833, 1835, 1837, ?",1838,1839,1837,1836,B) 1839,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1837 + 2 = 1839.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 722 and two of its numbers are 219 and 242, what is the third number?",288,213,313,261,D) 261,"Since the row total is 722, the third number = 722 - 219 - 242 = 261.",Number Puzzles,Magic Squares
Which of the following best describes 2856?,Both prime and composite,Neither prime nor composite,Prime number,Composite number,D) Composite number,"2856 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 1923, 1925, 1927, 1929, 1931, ?",1929,1931,1933,1937,C) 1933,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1931 + 2 = 1933.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 527 and two of its numbers are 152 and 159, what is the third number?",198,246,216,205,C) 216,"Since the row total is 527, the third number = 527 - 152 - 159 = 216.",Number Puzzles,Magic Squares
Which of the following best describes 604?,Both prime and composite,Neither prime nor composite,Prime number,Composite number,D) Composite number,"604 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 375, 254, 375, 254, 375, ?",252,257,256,254,D) 254,"The series alternates between 375 and 254. Since the last number is 375, the next number = 254.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 9, 12, 13, 17, 20, ?",24,23,31,25,A) 24,"The differences between consecutive terms are 3, 1, 4, 3, increasing by 1 each time. The next difference is 4, so the next term = 20 + 4 = 24.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 2, 5, 7, 9, 14, ?",20,27,16,8,A) 20,"The differences between consecutive terms are 3, 2, 2, 5, increasing by 1 each time. The next difference is 6, so the next term = 14 + 6 = 20.",Number Puzzles,Number Patterns
Which of the following best describes 1880?,Neither prime nor composite,Both prime and composite,Composite number,Prime number,C) Composite number,"1880 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 1433, 1435, 1437, 1439, 1441, ?",1444,1446,1441,1443,D) 1443,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1441 + 2 = 1443.",Number Puzzles,Odd & Even
"Find the next number in the series: 1316, 1318, 1320, 1322, 1324, ?",1328,1326,1324,1325,B) 1326,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1324 + 2 = 1326.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 597 and two of its numbers are 172 and 211, what is the third number?",214,210,206,227,A) 214,"Since the row total is 597, the third number = 597 - 172 - 211 = 214.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 910 and two of its numbers are 283 and 332, what is the third number?",351,278,295,256,C) 295,"Since the row total is 910, the third number = 910 - 283 - 332 = 295.",Number Puzzles,Magic Squares
"Find the next number in the series: 192, 107, 192, 107, 192, ?",108,107,111,110,B) 107,"The series alternates between 192 and 107. Since the last number is 192, the next number = 107.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 1024, 1026, 1028, 1030, 1032, ?",1036,1038,1033,1034,D) 1034,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1032 + 2 = 1034.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 6, 9, 10, 15, 18, ?",22,25,18,21,A) 22,"The differences between consecutive terms are 3, 1, 5, 3, increasing by 1 each time. The next difference is 4, so the next term = 18 + 4 = 22.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 228 and two of its numbers are 64 and 86, what is the third number?",67,73,78,82,C) 78,"Since the row total is 228, the third number = 228 - 64 - 86 = 78.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 593 and two of its numbers are 167 and 205, what is the third number?",255,241,221,191,C) 221,"Since the row total is 593, the third number = 593 - 167 - 205 = 221.",Number Puzzles,Magic Squares
"Find the next number in the series: 296, 401, 296, 401, 296, ?",404,397,401,406,C) 401,"The series alternates between 296 and 401. Since the last number is 296, the next number = 401.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 1195 and two of its numbers are 368 and 373, what is the third number?",415,454,480,524,B) 454,"Since the row total is 1195, the third number = 1195 - 368 - 373 = 454.",Number Puzzles,Magic Squares
"Find the next number in the series: 3, 9, 15, 21, 27, ?",34,33,35,37,B) 33,Each term increases by 6 (an arithmetic progression). Next term = 27 + 6 = 33.,Number Puzzles,Number Series
"Find the next number in the series: 59, 345, 59, 345, 59, ?",343,349,345,347,C) 345,"The series alternates between 59 and 345. Since the last number is 59, the next number = 345.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 696 and two of its numbers are 199 and 214, what is the third number?",238,269,283,260,C) 283,"Since the row total is 696, the third number = 696 - 199 - 214 = 283.",Number Puzzles,Magic Squares
"Find the next number in the series: 446, 448, 450, 452, 454, ?",458,456,459,454,B) 456,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 454 + 2 = 456.",Number Puzzles,Odd & Even
"Find the next number in the series: 282, 214, 282, 214, 282, ?",209,214,211,213,B) 214,"The series alternates between 282 and 214. Since the last number is 282, the next number = 214.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 9, 20, 31, 42, 53, ?",64,63,61,59,A) 64,Each term increases by 11 (an arithmetic progression). Next term = 53 + 11 = 64.,Number Puzzles,Number Series
"Find the next number in the series: 1285, 1287, 1289, 1291, 1293, ?",1295,1296,1299,1292,A) 1295,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1293 + 2 = 1295.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 1, 3, 6, 11, 12, ?",18,17,11,14,D) 14,"The differences between consecutive terms are 2, 3, 5, 1, increasing by 1 each time. The next difference is 2, so the next term = 12 + 2 = 14.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 1, 2, 4, 8, 10, ?",17,7,8,13,D) 13,"The differences between consecutive terms are 1, 2, 4, 2, increasing by 1 each time. The next difference is 3, so the next term = 10 + 3 = 13.",Number Puzzles,Number Patterns
"Find the next number in the series: 479, 438, 479, 438, 479, ?",439,438,434,437,B) 438,"The series alternates between 479 and 438. Since the last number is 479, the next number = 438.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 468, 189, 468, 189, 468, ?",189,186,190,184,A) 189,"The series alternates between 468 and 189. Since the last number is 468, the next number = 189.",Number Puzzles,Logic Number Puzzles
"Find the missing number in the series: 20, ?, 44, 56, 68.",43,21,38,32,D) 32,"The series increases by 12 each time, so the missing number = 20 + 12 = 32.",Number Puzzles,Missing Numbers
"In a 3×3 magic square, if one row sums to 1474 and two of its numbers are 479 and 494, what is the third number?",437,454,533,501,D) 501,"Since the row total is 1474, the third number = 1474 - 479 - 494 = 501.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 4, 8, 13, 16, 19, ?",23,30,16,15,A) 23,"The differences between consecutive terms are 4, 5, 3, 3, increasing by 1 each time. The next difference is 4, so the next term = 19 + 4 = 23.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 6, 8, 9, 14, 16, ?",25,20,19,24,C) 19,"The differences between consecutive terms are 2, 1, 5, 2, increasing by 1 each time. The next difference is 3, so the next term = 16 + 3 = 19.",Number Puzzles,Number Patterns
